region,district,year,month,anomaly_label,anomaly_score,is_anomaly
Ahafo,Goaso,2010,4,1,0.4124111827279383,0
Ahafo,Asutifi North,2010,5,1,0.43030454271713636,0
Ahafo,Goaso,2010,5,1,0.49097322842691754,0
Ahafo,Asutifi North,2010,6,1,0.4036752216537282,0
Ahafo,Goaso,2010,6,1,0.4553605826684069,0
Ahafo,Asutifi North,2010,7,1,0.41228031939709237,0
Ahafo,Goaso,2010,7,1,0.5270423188879081,0
Ahafo,Asutifi North,2010,8,1,0.3962577865429061,0
Ahafo,Goaso,2010,8,1,0.49350974892076044,0
Ahafo,Asutifi North,2010,9,1,0.4005346319110833,0
Ahafo,Goaso,2010,9,1,0.45774170167357975,0
Ahafo,Asutifi North,2010,10,1,0.3961014733424432,0
Ahafo,Goaso,2010,10,1,0.44906580380704847,0
Ahafo,Asutifi North,2010,11,1,0.4055851100903365,0
Ahafo,Goaso,2010,11,1,0.4093358553669154,0
Ahafo,Asutifi North,2010,12,1,0.4446720026348376,0
Ahafo,Goaso,2010,12,1,0.45831995723427993,0
Ahafo,Asutifi North,2011,1,1,0.46348877857090726,0
Ahafo,Goaso,2011,1,1,0.4946008865624686,0
Ahafo,Asutifi North,2011,2,1,0.4715957511703005,0
Ahafo,Goaso,2011,2,1,0.4876894796763061,0
Ahafo,Asutifi North,2011,3,1,0.4257959425912125,0
Ahafo,Goaso,2011,3,1,0.4537253066275825,0
Ahafo,Asutifi North,2011,4,1,0.5236545638147551,0
Ahafo,Goaso,2011,4,1,0.41993318877867614,0
Ahafo,Asutifi North,2011,5,1,0.4584499307160504,0
Ahafo,Goaso,2011,5,1,0.43249744476765534,0
Ahafo,Asutifi North,2011,6,1,0.4622539027437225,0
Ahafo,Goaso,2011,6,1,0.40875875185256827,0
Ahafo,Asutifi North,2011,7,1,0.447693848633336,0
Ahafo,Goaso,2011,7,1,0.4063611546188259,0
Ahafo,Asutifi North,2011,8,1,0.40239856901541704,0
Ahafo,Goaso,2011,8,1,0.4005085713510451,0
Ahafo,Asutifi North,2011,9,1,0.39981350656743153,0
Ahafo,Goaso,2011,9,1,0.42897741335833106,0
Ahafo,Asutifi North,2011,10,1,0.40432468310867686,0
Ahafo,Goaso,2011,10,1,0.4158636941055948,0
Ahafo,Asutifi North,2011,11,1,0.4163242862445844,0
Ahafo,Goaso,2011,11,1,0.41641811263076683,0
Ahafo,Asutifi North,2011,12,1,0.4528044649766581,0
Ahafo,Goaso,2011,12,1,0.45715102329740015,0
Ahafo,Asutifi North,2012,1,1,0.46837089742405935,0
Ahafo,Goaso,2012,1,1,0.4828736994743791,0
Ahafo,Asutifi North,2012,2,1,0.47284666934061126,0
Ahafo,Goaso,2012,2,1,0.46717625239543753,0
Ahafo,Asutifi North,2012,3,1,0.4130769210904029,0
Ahafo,Goaso,2012,3,1,0.43735593147993407,0
Ahafo,Asutifi North,2012,4,1,0.4079494955508712,0
Ahafo,Goaso,2012,4,1,0.4168204210190112,0
Ahafo,Asutifi North,2012,5,1,0.42009897645233957,0
Ahafo,Goaso,2012,5,1,0.4297556998648581,0
Ahafo,Asutifi North,2012,6,1,0.40417887543085235,0
Ahafo,Goaso,2012,6,1,0.4069431617697489,0
Ahafo,Asutifi North,2012,7,1,0.40884382223227744,0
Ahafo,Goaso,2012,7,1,0.4072410331610843,0
Ahafo,Asutifi North,2012,8,1,0.40971020664531005,0
Ahafo,Goaso,2012,8,1,0.4000829844482731,0
Ahafo,Asutifi North,2012,9,1,0.40649753629158114,0
Ahafo,Goaso,2012,9,1,0.4000819957115401,0
Ahafo,Asutifi North,2012,10,1,0.41976703356100775,0
Ahafo,Goaso,2012,10,1,0.41480317143190343,0
Ahafo,Asutifi North,2012,11,1,0.4218057255944752,0
Ahafo,Goaso,2012,11,1,0.3988071254694578,0
